ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
2004,BBMS,2004,1A,,6,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera",Tu 01:00PM - 02:50PM,MWT5,09/03/2019 - 12/03/2019,,Th 10:30AM - 12:20PM,JLG05,09/05/2019 - 12/05/2019,,,,,,,,,Introduction to Human Anatomy,,Open,0,100,0,UGME - School of Biomedical Sciences
2006,BBMS,2006,1A,,6,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen",Mo 08:30AM - 10:20AM,LE3,09/02/2019 - 11/25/2019,,Fr 09:30AM - 12:20PM,JLG04,09/06/2019 - 11/29/2019,,,,,,,,,Physiological Basis of Health and Disease,,Open,0,100,0,UGME - School of Biomedical Sciences
2007,BBMS,2007,1A,,6,"Huang,Jiandong; Ng,Kit Ray; Wong,Choi Wah Brian; Zhou,Zhongjun",Mo 11:30AM - 01:20PM,KB112,09/02/2019 - 12/02/2019,,Th 09:30AM - 10:20AM,MB256,09/05/2019 - 12/05/2019,,,,,,,,,Essential Molecular Biology,,Open,0,100,0,UGME - School of Biomedical Sciences
2009,BBMS,2009,1A,,6,"Zhao,Jie; Zhi,Hui",Mo 01:30PM - 02:20PM,MB113G,09/02/2019 - 11/25/2019,,We 10:30AM - 11:20AM,KKLG110,09/04/2019 - 11/27/2019,,,,,,,,,Introduction to Clinical Research,,Open,0,100,0,UGME - School of Biomedical Sciences
3001,BBMS,3001,1A,,6,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen",We 02:30PM - 04:20PM,EH101,09/04/2019 - 11/27/2019,,Fr 02:30PM - 04:20PM,EH101,09/06/2019 - 11/29/2019,,,,,,,,,Medical Microbiology,,Open,0,100,0,UGME - School of Biomedical Sciences
3002,BBMS,3002,1A,,6,"Chen,Jeng-Haur; Cheung,Chi Hang Martin; Huen,Shing Yan Michael; Lee,Pui Yue Nikki",Tu 11:30AM - 01:20PM,MW103,09/03/2019 - 11/26/2019,,Fr 11:30AM - 01:20PM,MB122,09/06/2019 - 11/29/2019,,,,,,,,,Molecular Biology of the Cell,,Open,0,100,0,UGME - School of Biomedical Sciences
3009,BBMS,3009,1A,,6,"Chung,Hon Yin Brian; Li,Miaoxin; Sham,Pak Chung; Song,You-qiang; Yang,Wanling",Mo 03:30PM - 05:20PM,MB141,09/02/2019 - 11/25/2019,,Tu 04:30PM - 05:20PM,MB151,09/03/2019 - 11/26/2019,,,,,,,,,Genome Science,,Open,0,100,0,UGME - School of Biomedical Sciences
3010,BBMS,3010,1A,,6,"Chan,Chi Wai Michael; Chan,Kwok Hung; Chen,Honglin; Chen,Zhiwei; Lam,Tsan Yuk; Yen,Hui-Ling; Yeung,Man Lung; Zhu,Huachen",WeFr 09:30AM - 11:20AM,MB113G,09/04/2019 - 11/29/2019,,,,,,,,,,,,,Emerging Infections,,Open,0,100,0,UGME - School of Biomedical Sciences
3011,BBMS,3011,1A,,6,"Chan,Ying Shing; Chang,Chuen Chung Raymond; Cheung,Chi Hang Martin; Cheung,King Ho; Chung,Sookja Kim; Lai,Kwok On; Lai,Sau Wan Cora; Lee,Chi Wai; Lim,Lee Wei; Shum,Kwok Yan Daisy",Tu 09:30AM - 11:20AM,MB113G,09/03/2019 - 11/26/2019,,Th 03:30PM - 05:20PM,KKLG101,09/05/2019 - 11/28/2019,,,,,,,,,Molecular Neuroscience,,Open,0,100,0,UGME - School of Biomedical Sciences
3018,BBMS,3018,1A,,6,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin; Yuan,Lin",Tu 02:30PM - 04:20PM,CYPP2,09/03/2019 - 11/26/2019,,Th 02:30PM - 04:20PM,MWT4,09/05/2019 - 11/28/2019,,,,,,,,,Biomechanics and Biomedical Technologies,,Open,0,100,0,UGME - School of Biomedical Sciences
