TERM,ACAD_CAREER,COURSE CODE,CLASS SECTION,START DATE,END DATE,MON,TUE,WED,THU,FRI,SAT,SUN,VENUE,START TIME,END TIME,COURSE TITLE,OFFER DEPT,INSTRUCTOR
2019-20 Sem 1,UGME,BBMS2004,1A,2019-09-03,2019-10-15,,TUE,,,,,,MWT5,13:00,14:50,Introduction to Human Anatomy,School of Biomedical Sciences,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera"
2019-20 Sem 1,UGME,BBMS2004,1A,2019-09-05,2019-10-17,,,,THU,,,,JLG05,10:30,12:20,Introduction to Human Anatomy,School of Biomedical Sciences,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera"
2019-20 Sem 1,UGME,BBMS2004,1A,2019-09-05,2019-10-17,,,,THU,,,,,10:30,12:20,Introduction to Human Anatomy,School of Biomedical Sciences,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera"
2019-20 Sem 1,UGME,BBMS2004,1A,2019-10-29,2019-12-03,,TUE,,,,,,MWT5,13:00,14:50,Introduction to Human Anatomy,School of Biomedical Sciences,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera"
2019-20 Sem 1,UGME,BBMS2004,1A,2019-10-31,2019-12-05,,,,THU,,,,JLG05,10:30,12:20,Introduction to Human Anatomy,School of Biomedical Sciences,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera"
2019-20 Sem 1,UGME,BBMS2004,1A,2019-10-31,2019-12-05,,,,THU,,,,,10:30,12:20,Introduction to Human Anatomy,School of Biomedical Sciences,"Chan,Wing Yan Camie; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; Chung,Sookja Kim; Huen,Shing Yan Michael; Tipoe,George Lim; Yang,Jian; Yip,Ka Fun Henry; Yip,Sui Ping Vera"
2019-20 Sem 1,UGME,BBMS2006,1A,2019-09-02,2019-09-30,MON,,,,,,,LE3,08:30,10:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen"
2019-20 Sem 1,UGME,BBMS2006,1A,2019-09-06,2019-10-11,,,,,FRI,,,JLG04,09:30,12:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen"
2019-20 Sem 1,UGME,BBMS2006,1A,2019-09-06,2019-10-11,,,,,FRI,,,,09:30,12:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen"
2019-20 Sem 1,UGME,BBMS2006,1A,2019-10-21,2019-11-25,MON,,,,,,,LE3,08:30,10:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen"
2019-20 Sem 1,UGME,BBMS2006,1A,2019-10-25,2019-11-29,,,,,FRI,,,JLG04,09:30,12:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen"
2019-20 Sem 1,UGME,BBMS2006,1A,2019-10-25,2019-11-29,,,,,FRI,,,,09:30,12:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Ballard,Heather Janet; Boheler,Kenneth Richard; Chan,Ying Shing; Cheung,King Ho; Fung,Man Lung; Lai,Kwok On; Lee,Kai Fai Calvin; Lim,Lee Wei; Lung,Kin Yum Mary Agnes; Poon,Ming See Angela; Shiu,Yuen Wing Stephen"
2019-20 Sem 1,UGME,BBMS2007,1A,2019-09-02,2019-10-14,MON,,,,,,,KB112,11:30,13:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Ng,Kit Ray; Wong,Choi Wah Brian; Zhou,Zhongjun"
2019-20 Sem 1,UGME,BBMS2007,1A,2019-09-05,2019-10-17,,,,THU,,,,MB256,09:30,10:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Ng,Kit Ray; Wong,Choi Wah Brian; Zhou,Zhongjun"
2019-20 Sem 1,UGME,BBMS2007,1A,2019-10-28,2019-12-02,MON,,,,,,,KB112,11:30,13:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Ng,Kit Ray; Wong,Choi Wah Brian; Zhou,Zhongjun"
2019-20 Sem 1,UGME,BBMS2007,1A,2019-10-31,2019-12-05,,,,THU,,,,MB256,09:30,10:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Ng,Kit Ray; Wong,Choi Wah Brian; Zhou,Zhongjun"
2019-20 Sem 1,UGME,BBMS2009,1A,2019-09-02,2019-09-30,MON,,,,,,,MB113G,13:30,14:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2019-20 Sem 1,UGME,BBMS2009,1A,2019-09-04,2019-10-09,,,WED,,,,,KKLG110,10:30,11:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2019-20 Sem 1,UGME,BBMS2009,1A,2019-10-21,2019-11-25,MON,,,,,,,MB113G,13:30,14:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2019-20 Sem 1,UGME,BBMS2009,1A,2019-10-23,2019-11-27,,,WED,,,,,KKLG110,10:30,11:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2019-20 Sem 1,UGME,BBMS3001,1A,2019-09-03,2019-09-24,,TUE,,,,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chan,Fuk Woo Jasper; Chan,Kwok Hung; Chen,Zhiwei; Kao,Yi Tsun Richard; To,Kai Wang Kelvin; Zhu,Huachen"
